           TIME                          IP                   METHOD                PATH


Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:42:47 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:43:13 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:43:13 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:43:13 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:43:13 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:43:13 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:43:13 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:43:13 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:43:23 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
